Time;c_A
0;0,4959
3,448275862;0,447
6,896551724;0,4059
10,34482759;0,3854
13,79310345;0,3615
17,24137931;0,3426
20,68965517;0,3366
24,13793103;0,3262
27,5862069;0,3162
31,03448276;0,3144
34,48275862;0,3156
37,93103448;0,3109
41,37931034;0,3129
44,82758621;0,3066
48,27586207;0,3159
51,72413793;0,3275
55,17241379;0,3164
58,62068966;0,3214
62,06896552;0,327
65,51724138;0,3292
68,96551724;0,3333
72,4137931;0,3351
75,86206897;0,3449
79,31034483;0,3433
82,75862069;0,3466
86,20689655;0,3454
89,65517241;0,3519
93,10344828;0,3567
96,55172414;0,3598
100;0,3658
