Time (d);Temp (°C);DiffPress (bar);DTS (ppm);FeedQ (LMH);SaltPass (%)
2,491039427;1,494369369;0,480314961;0,391836735;0,972637829;1,608710577
2,491039427;1,391891892;0,47007874;0,391836735;0,972637829;1,61707788
3,702508961;1,421171171;0,480314961;0,391836735;0,971755725;1,628792105
8,548387097;1,45045045;0,47007874;0,391836735;0,974843087;1,64385325
13,39426523;1,46509009;0,480314961;0,381519274;0,97793045;1,653894014
13,39426523;1,413851351;0,493963255;0,368253968;0,979988691;1,64217979
18,24014337;1,377252252;0,497375328;0,358427816;0,98322307;1,64385325
20,66308244;1,326013514;0,508748906;0,353514739;0,980135708;1,700750912
25,50896057;1,289414414;0,515573053;0,344671202;0,97793045;1,687363227
27,93189964;1,252815315;0,511023622;0,347619048;0,97793045;1,67062862
32,77777778;1,260135135;0,517847769;0,3574452;0,971314673;1,689594508
35,20071685;1,208896396;0,514435696;0,353514739;0,960729432;1,677322463
40,04659498;1,194256757;0,504199475;0,359410431;0,958083121;1,677322463
44,89247312;1,186936937;0,493963255;0,352040816;0,954113656;1,687363227
49,73835125;1,179617117;0,495100612;0,340740741;0,949703138;1,602016735
54,58422939;1,201576577;0,514435696;0,33877551;0,946762793;1,59030251
59,43010753;1,245495495;0,502493438;0,329931973;0,953231552;1,580261746
63,06451613;1,245495495;0,515573053;0,317157974;0,956759966;1,48320103
64,27598566;1,289414414;0,524671916;0,313718821;0,96028838;1,550139455
69,1218638;1,318693694;0,52808399;0,300453515;0,96293469;1,573567904
72,7562724;1,304054054;0,524671916;0,306349206;0,967345208;1,566874061
73,96774194;1,362612613;0,536045494;0,304875283;0,970873622;1,575799185
77,60215054;1,333333333;0,542869641;0,309297052;0,97307888;1,627118644
78,81362007;1,362612613;0,54855643;0,315192744;0,97043257;1,638832868
83,65949821;1,326013514;0,545144357;0,324036281;0,966463104;1,628792105
88,50537634;1,340653153;0,556517935;0,326984127;0,962052587;1,638832868
93,35125448;1,369932432;0,563342082;0,317157974;0,96028838;1,640506329
96,98566308;1,391891892;0,569028871;0,31814059;0,960582414;1,628792105
98,19713262;1,435810811;0,557086614;0,331405896;0,964698897;1,56352714
103,0430108;1,47972973;0,541732283;0,32845805;0,969550466;1,610384038
107,8888889;1,523648649;0,52808399;0,324036281;0,972637829;1,607037116
113,1385902;1,528528529;0,521259843;0,319614512;0,971755725;1,607037116
117,9844683;1,557807808;0,507611549;0,319614512;0,974402036;1,607037116
121,2150538;1,582207207;0,487139108;0,325510204;0,974402036;1,607037116
122,8303465;1,645645646;0,47007874;0,329931973;0,973960984;1,610384038
127,2724014;1,670045045;0,476902887;0,33877551;0,973519932;1,673975542
132,1182796;1,648085586;0,47007874;0,347619048;0,97307888;1,667281699
136,9641577;1,640765766;0,45984252;0,344671202;0,972637829;1,687363227
141,8100358;1,662725225;0,466666667;0,344671202;0,972637829;1,694057069
146,655914;1,684684685;0,45984252;0,351549509;0,972637829;1,682342845
151,5017921;1,699324324;0,45984252;0,362358277;0,971755725;1,811199313
153,9247312;1,750563063;0,454155731;0,353514739;0,971314673;1,822355718
154,3285544;1,816441441;0,449606299;0,375132275;0,970873622;1,821240077
156,7514934;1,909159159;0,473490814;0,387414966;0,970873622;1,810083673
161,1935484;1,955518018;0,473490814;0,382993197;0,970873622;1,794464707
164,827957;1,948198198;0,473490814;0,377097506;0,97043257;1,702424372
166,4432497;1,996996997;0,461548556;0,377097506;0,969550466;1,737567046
170,8853047;2,028716216;0,473490814;0,382993197;0,971314673;1,727526282
173,7120669;2,084834835;0,449606299;0,397732426;0,972637829;1,858056211
176,9426523;2,094594595;0,456430446;0,410506425;0,974402036;1,844668526
178,1541219;2,145833333;0,449606299;0,424263039;0,976460277;1,817893156
181,7885305;2,153153153;0,439370079;0,424263039;0,97793045;1,724179361
183,4038232;2,201951952;0,429133858;0,40952381;0,976166243;1,898219266
187,8458781;2,226351351;0,432545932;0,400680272;0,976607294;1,966831152
192,6917563;2,240990991;0,43368329;0,403628118;0,977048346;1,717485518
197,5376344;2,255630631;0,439370079;0,400680272;0,975725191;1,737567046
202,3835125;2,255630631;0,439370079;0,399206349;0,973519932;1,799485089
207,2293907;2,255630631;0,439370079;0,404610733;0,969991518;1,824586998
212,0752688;2,255630631;0,439370079;0,406575964;0,966463104;1,821240077
216,921147;2,27027027;0,429133858;0,415419501;0,963816794;1,804505471
221,7670251;2,29954955;0,439370079;0,415419501;0,963375742;1,699077451
226,6129032;2,336148649;0,439370079;0,421315193;0,963816794;1,700750912
231,4587814;2,380067568;0,435958005;0,428684807;0,968227311;1,687363227
236,3046595;2,402027027;0,446194226;0,436054422;0,969991518;1,677322463
241,1505376;2,409346847;0,442782152;0,439002268;0,972931863;1,676206823
245,9964158;2,423986486;0,432545932;0,439002268;0,972637829;1,67062862
250,8422939;2,431306306;0,429133858;0,441950113;0,969991518;1,684016306
255,688172;2,431306306;0,440507437;0,444897959;0,971755725;1,657240935
260,5340502;2,460585586;0,439370079;0,439002268;0,967345208;1,647200172
265,3799283;2,460585586;0,453018373;0,429176115;0,964698897;1,637159408
270,2258065;2,431306306;0,45984252;0,41984127;0,961170483;1,878137739
272,6487455;2,380067568;0,45984252;0,424263039;0,959406277;1,717485518
277,4946237;2,372747748;0,45984252;0,43015873;0,958965225;1,863076593
282,3405018;2,387387387;0,453018373;0,434580499;0,965581001;1,864750054
287,1863799;2,402027027;0,442782152;0,436054422;0,962052587;1,864750054
292,0322581;2,372747748;0,449606299;0,433106576;0,969109415;1,876464278
296,8781362;2,328828829;0,446194226;0,423280423;0,984546226;1,891525424
301,7240143;2,29954955;0,435958005;0,412471655;0,979694656;1,80283201
306,5698925;2,255630631;0,453018373;0,421315193;0,992044105;1,811199313
311,4157706;2,197072072;0,466666667;0,450793651;0,988956743;1,817893156
316,2616487;2,153153153;0,478608924;0,439002268;0,999100933;1,861403132
319,8960573;2,094594595;0,501924759;0,403628118;1,005275657;1,836859043
321,1075269;2,123873874;0,504199475;0,39478458;1,002188295;1,824586998
325,953405;2,094594595;0,514435696;0,424263039;1,009686175;1,878137739
329,5878136;2,036036036;0,517847769;0,412471655;1,014978796;1,884831581
330,7992832;2,065315315;0,521259843;0,400680272;1,022035623;1,883158121
333,2222222;1,992117117;0,521259843;0,418367347;1,022917727;1,898219266
338,0681004;1,948198198;0,517847769;0,427210884;1,025858072;1,904913109
340,4910394;1,875;0,534908136;0,424263039;1,026446141;1,888178502
340,4910394;1,816441441;0,54855643;0,410997732;1,029092451;1,884831581
342,9139785;1,765202703;0,575853018;0,399206349;1,02379983;1,923321176
347,7598566;1,743243243;0,596325459;0,39478458;1,020271416;1,884831581
352,6057348;1,743243243;0,604855643;0,385941043;1,016743003;1,874790817
357,4516129;1,757882883;0,623622047;0,377097506;1,008216002;1,839648144
362,7013142;1,787162162;0,598031496;0,382993197;1,009686175;1,807852392
363,5089606;1,699324324;0,609973753;0,37414966;1,006157761;1,832954302
363,5089606;1,640765766;0,582677165;0,362358277;1,011450382;1,824586998
364,7204301;1,582207207;0,557086614;0,352040816;1,014978796;1,836301223
364,7204301;1,523648649;0,569028871;0,344671202;1,015860899;1,861403132
364,7204301;1,47240991;0,551968504;0,349092971;1,018507209;1,85470929
